Day,Play_Number,Time_Post_Snap_s,Receiver,Openness_yds,Defender_ID,Y_yds,X_yds
DAY 3 (03-22-2026),2,1.32,R1,0.52,90001,11.7,12.4
DAY 3 (03-22-2026),2,1.32,R2,4.09,101,14.37,50.78
DAY 3 (03-22-2026),2,1.32,R4,4.57,87,24.49,55.6
DAY 3 (03-22-2026),2,1.34,R1,0.52,90001,11.74,12.26
DAY 3 (03-22-2026),2,1.34,R2,4.07,101,14.37,50.81
DAY 3 (03-22-2026),2,1.34,R3,1.01,90010,21.57,49.97
DAY 3 (03-22-2026),2,1.34,R4,4.55,87,24.6,55.65
DAY 3 (03-22-2026),2,1.36,R1,0.52,90001,12.14,12.14
DAY 3 (03-22-2026),2,1.36,R2,4.04,101,14.38,50.76
DAY 3 (03-22-2026),2,1.36,R3,1.01,90010,21.72,49.9
DAY 3 (03-22-2026),2,1.36,R4,4.5,87,24.84,55.42
DAY 3 (03-22-2026),2,1.38,R1,0.52,90001,12.29,12.12
DAY 3 (03-22-2026),2,1.38,R2,4.01,101,14.39,50.76
DAY 3 (03-22-2026),2,1.38,R3,1.01,90010,21.78,49.85
DAY 3 (03-22-2026),2,1.38,R4,4.48,87,24.93,55.34
DAY 3 (03-22-2026),2,1.39,R1,0.52,90001,12.5,12.0
DAY 3 (03-22-2026),2,1.39,R2,3.89,101,14.6,51.34
DAY 3 (03-22-2026),2,1.39,R4,4.35,87,25.1,55.24
DAY 3 (03-22-2026),2,1.41,R1,0.52,90001,12.59,11.97
DAY 3 (03-22-2026),2,1.41,R2,3.87,101,14.68,51.59
DAY 3 (03-22-2026),2,1.41,R4,4.3,87,25.17,55.22
DAY 3 (03-22-2026),2,1.43,R1,0.52,,12.86,11.88
DAY 3 (03-22-2026),2,1.43,R2,3.86,101,14.74,51.76
DAY 3 (03-22-2026),2,1.43,R4,4.22,87,25.3,55.14
DAY 3 (03-22-2026),2,1.45,R1,0.52,,12.96,11.83
DAY 3 (03-22-2026),2,1.45,R2,3.84,101,14.77,51.82
DAY 3 (03-22-2026),2,1.45,R4,4.22,87,25.34,55.12
DAY 3 (03-22-2026),2,1.46,R1,1.85,90001,13.02,11.42
DAY 3 (03-22-2026),2,1.46,R2,3.81,101,14.8,51.87
DAY 3 (03-22-2026),2,1.46,R3,1.01,,21.97,49.45
DAY 3 (03-22-2026),2,1.46,R4,4.15,87,25.4,55.17
DAY 3 (03-22-2026),2,1.48,R1,2.12,90001,13.06,11.28
DAY 3 (03-22-2026),2,1.48,R2,3.78,101,14.8,51.87
DAY 3 (03-22-2026),2,1.48,R3,1.01,,21.98,49.45
DAY 3 (03-22-2026),2,1.48,R4,4.15,87,25.41,55.19
DAY 3 (03-22-2026),2,1.5,R1,2.12,90001,13.2,10.35
DAY 3 (03-22-2026),2,1.5,R2,3.78,101,14.77,51.61
DAY 3 (03-22-2026),2,1.5,R4,4.14,87,25.43,55.29
DAY 3 (03-22-2026),2,1.52,R1,2.13,90001,13.47,9.66
DAY 3 (03-22-2026),2,1.52,R2,3.77,101,14.72,51.54
DAY 3 (03-22-2026),2,1.52,R3,1.01,90010,22.01,49.47
DAY 3 (03-22-2026),2,1.52,R4,4.1,87,25.48,55.32
DAY 3 (03-22-2026),2,1.53,R1,2.13,90001,13.57,9.4
DAY 3 (03-22-2026),2,1.53,R2,3.73,101,14.69,51.51
DAY 3 (03-22-2026),2,1.53,R3,1.01,90010,22.02,49.5
DAY 3 (03-22-2026),2,1.53,R4,4.1,87,25.49,55.32
DAY 3 (03-22-2026),2,1.55,R1,2.13,90001,13.64,9.05
DAY 3 (03-22-2026),2,1.55,R2,3.7,101,14.6,51.54
DAY 3 (03-22-2026),2,1.55,R3,1.01,90010,22.07,49.27
DAY 3 (03-22-2026),2,1.55,R4,3.99,87,25.52,55.04
DAY 3 (03-22-2026),2,1.57,R1,2.12,90001,13.68,8.96
DAY 3 (03-22-2026),2,1.57,R2,3.7,101,14.58,51.54
DAY 3 (03-22-2026),2,1.57,R3,1.01,90010,22.09,49.19
DAY 3 (03-22-2026),2,1.57,R4,3.95,87,25.52,54.94
DAY 3 (03-22-2026),2,1.59,R1,2.12,,13.69,8.47
DAY 3 (03-22-2026),2,1.59,R2,3.7,101,14.51,51.66
DAY 3 (03-22-2026),2,1.59,R4,3.65,87,25.82,54.89
DAY 3 (03-22-2026),2,1.6,R1,2.12,,13.68,8.33
DAY 3 (03-22-2026),2,1.6,R2,3.7,101,14.49,51.69
DAY 3 (03-22-2026),2,1.6,R4,3.54,87,25.93,54.89
DAY 3 (03-22-2026),2,1.62,R1,0.86,90001,13.84,7.98
DAY 3 (03-22-2026),2,1.62,R2,3.59,101,14.47,51.82
DAY 3 (03-22-2026),2,1.62,R3,1.52,90010,22.47,49.12
DAY 3 (03-22-2026),2,1.62,R4,3.4,87,26.02,54.79
DAY 3 (03-22-2026),2,1.64,R1,0.74,90001,13.9,7.89
DAY 3 (03-22-2026),2,1.64,R2,3.58,101,14.46,51.87
DAY 3 (03-22-2026),2,1.64,R3,1.52,90010,22.51,49.12
DAY 3 (03-22-2026),2,1.64,R4,3.38,87,26.04,54.74
DAY 3 (03-22-2026),2,1.66,R1,0.6,90001,14.04,7.37
DAY 3 (03-22-2026),2,1.66,R2,3.56,101,14.46,52.17
DAY 3 (03-22-2026),2,1.66,R3,1.52,90010,22.66,49.29
DAY 3 (03-22-2026),2,1.67,R1,0.56,90001,14.08,7.17
DAY 3 (03-22-2026),2,1.67,R2,3.56,101,14.46,52.27
DAY 3 (03-22-2026),2,1.67,R3,1.52,90010,22.7,49.37
DAY 3 (03-22-2026),2,1.69,R1,0.56,90001,14.36,7.06
DAY 3 (03-22-2026),2,1.69,R2,3.56,101,14.43,52.39
DAY 3 (03-22-2026),2,1.69,R3,1.52,90010,22.7,49.32
DAY 3 (03-22-2026),2,1.69,R4,3.25,87,26.38,55.04
DAY 3 (03-22-2026),2,1.71,R1,0.56,90001,14.46,7.03
DAY 3 (03-22-2026),2,1.71,R2,3.55,101,14.41,52.47
DAY 3 (03-22-2026),2,1.71,R3,1.52,90010,22.7,49.29
DAY 3 (03-22-2026),2,1.71,R4,3.25,87,26.42,55.12
DAY 3 (03-22-2026),2,1.73,R1,0.56,90001,14.59,6.85
DAY 3 (03-22-2026),2,1.73,R2,3.55,101,14.37,52.5
DAY 3 (03-22-2026),2,1.73,R3,1.52,90010,22.74,49.55
DAY 3 (03-22-2026),2,1.73,R4,3.25,87,26.43,55.17
DAY 3 (03-22-2026),2,1.74,R1,0.56,90001,14.64,6.8
DAY 3 (03-22-2026),2,1.74,R2,3.54,101,14.36,52.5
DAY 3 (03-22-2026),2,1.74,R3,1.52,90010,22.76,49.62
DAY 3 (03-22-2026),2,1.74,R4,3.25,87,26.43,55.19
DAY 3 (03-22-2026),2,1.76,R1,0.56,,14.68,6.94
DAY 3 (03-22-2026),2,1.76,R2,3.48,101,14.26,52.67
DAY 3 (03-22-2026),2,1.76,R3,1.52,90010,22.77,49.52
DAY 3 (03-22-2026),2,1.76,R4,3.24,87,26.42,55.29
DAY 3 (03-22-2026),2,1.78,R1,0.56,,14.7,6.97
DAY 3 (03-22-2026),2,1.78,R2,3.47,101,14.21,52.75
DAY 3 (03-22-2026),2,1.78,R3,1.52,90010,22.77,49.47
DAY 3 (03-22-2026),2,1.78,R4,3.24,87,26.42,55.32
DAY 3 (03-22-2026),2,1.79,R1,0.56,,14.76,6.94
DAY 3 (03-22-2026),2,1.79,R2,3.36,101,14.14,53.0
DAY 3 (03-22-2026),2,1.79,R4,2.99,87,26.56,55.24
DAY 3 (03-22-2026),2,1.81,R1,0.56,,14.78,6.91
DAY 3 (03-22-2026),2,1.81,R2,3.32,101,14.12,53.1
DAY 3 (03-22-2026),2,1.81,R4,2.89,87,26.61,55.19
DAY 3 (03-22-2026),2,1.83,R1,0.56,,14.82,7.14
DAY 3 (03-22-2026),2,1.83,R2,3.24,101,14.09,53.38
DAY 3 (03-22-2026),2,1.83,R3,0.75,90010,23.08,50.2
DAY 3 (03-22-2026),2,1.83,R4,2.77,87,26.7,55.37
DAY 3 (03-22-2026),2,1.85,R1,0.56,,14.84,7.23
DAY 3 (03-22-2026),2,1.85,R2,3.2,101,14.07,53.45
DAY 3 (03-22-2026),2,1.85,R3,0.75,90010,23.11,50.33
DAY 3 (03-22-2026),2,1.85,R4,2.72,87,26.73,55.42
DAY 3 (03-22-2026),2,1.86,R1,0.56,,15.01,7.69
DAY 3 (03-22-2026),2,1.86,R2,3.09,101,14.0,53.68
DAY 3 (03-22-2026),2,1.86,R3,0.75,90010,23.08,50.15
DAY 3 (03-22-2026),2,1.86,R4,2.56,87,26.82,55.77
DAY 3 (03-22-2026),2,1.88,R1,0.56,,15.08,7.87
DAY 3 (03-22-2026),2,1.88,R2,3.04,101,13.98,53.76
DAY 3 (03-22-2026),2,1.88,R3,0.74,90010,23.04,50.08
DAY 3 (03-22-2026),2,1.88,R4,2.49,87,26.86,55.87
DAY 3 (03-22-2026),2,1.9,R1,1.4,90001,15.72,8.41
DAY 3 (03-22-2026),2,1.9,R2,3.04,101,13.91,54.59
DAY 3 (03-22-2026),2,1.9,R3,0.74,90010,23.06,50.55
DAY 3 (03-22-2026),2,1.9,R4,2.39,87,26.89,56.35
DAY 3 (03-22-2026),2,1.92,R1,1.4,90001,15.98,8.65
DAY 3 (03-22-2026),2,1.92,R2,3.03,101,13.88,54.89
DAY 3 (03-22-2026),2,1.92,R3,0.74,90010,23.03,50.71
DAY 3 (03-22-2026),2,1.92,R4,2.36,87,26.9,56.53
DAY 3 (03-22-2026),2,1.93,R1,1.4,90001,16.24,9.54
DAY 3 (03-22-2026),2,1.93,R2,3.02,101,13.79,55.77
DAY 3 (03-22-2026),2,1.95,R1,1.43,90001,16.34,9.86
DAY 3 (03-22-2026),2,1.95,R2,3.0,101,13.76,56.08
DAY 3 (03-22-2026),2,1.97,R1,1.48,90001,16.94,11.25
DAY 3 (03-22-2026),2,1.97,R2,2.95,101,13.67,57.11
DAY 3 (03-22-2026),2,1.97,R4,2.26,87,27.01,58.62
DAY 3 (03-22-2026),2,1.99,R1,1.48,90001,17.17,11.8
DAY 3 (03-22-2026),2,1.99,R2,2.9,101,13.63,57.44
DAY 3 (03-22-2026),2,1.99,R4,2.25,87,27.02,58.95
DAY 3 (03-22-2026),2,2.0,R1,1.48,90001,17.18,12.49
DAY 3 (03-22-2026),2,2.0,R2,2.86,101,13.57,58.02
DAY 3 (03-22-2026),2,2.0,R4,2.14,87,27.03,59.68
DAY 3 (03-22-2026),2,2.02,R1,1.49,90001,17.17,13.33
DAY 3 (03-22-2026),2,2.02,R2,2.69,101,13.47,58.55
DAY 3 (03-22-2026),2,2.02,R4,1.89,87,27.1,60.16
DAY 3 (03-22-2026),2,2.04,R1,1.58,90001,17.16,13.62
DAY 3 (03-22-2026),2,2.04,R2,2.64,101,13.42,58.72
DAY 3 (03-22-2026),2,2.04,R3,0.54,90010,22.97,54.29
DAY 3 (03-22-2026),2,2.04,R4,1.79,87,27.12,60.31
